ED_ID,BDYSET_ID,ED_ABBREV,ED_NAME,WIKIDATA,GAZETTE_DT,FEAT_AREA,FEAT_PERIM,OBJECTID,MS_FB,MS_FB_PARE
226,10,RST,Richmond-Steveston,Q7330745,,29867354.556000001728535,24471.409299999999348,227,country:ca/province:bc/ed:rst-2015,country:ca/province:bc
227,10,SAN,Saanich North and the Islands,Q7395663,,1518814350.128499984741211,183507.615200000000186,228,country:ca/province:bc/ed:san-2015,country:ca/province:bc
228,10,SAS,Saanich South,Q7395668,,90985800.688500002026558,55825.719899999996414,229,country:ca/province:bc/ed:sas-2015,country:ca/province:bc
229,10,SHU,Shuswap,Q16259531,,8610237811.425899505615234,638205.268099999986589,230,country:ca/province:bc/ed:shu-2015,country:ca/province:bc
230,10,SKE,Skeena,Q7534260,,31609537840.261299133300781,1262662.698099999921396,231,country:ca/province:bc/ed:ske-2015,country:ca/province:bc
231,10,SKN,Stikine,Q7616920,,196483911082.625000000000000,4145143.387600000016391,232,country:ca/province:bc/ed:skn-2015,country:ca/province:bc
232,10,SRC,Surrey-Cloverdale,Q7646733,,54602068.172700002789497,33867.260399999999208,233,country:ca/province:bc/ed:src-2015,country:ca/province:bc
233,10,SRF,Surrey-Fleetwood,Q7646735,,16737732.619500000029802,20103.450199999999313,234,country:ca/province:bc/ed:srf-2015,country:ca/province:bc
234,10,SRG,Surrey-Green Timbers,Q7646736,,17764017.287000000476837,21194.194500000001426,235,country:ca/province:bc/ed:srg-2015,country:ca/province:bc
235,10,SUG,Surrey-Guildford,Q28233152,,42064492.947899997234344,32309.123999999999796,236,country:ca/province:bc/ed:sug-2015,country:ca/province:bc
236,10,SUN,Surrey-Newton,Q7646739,,12258309.698400000110269,16283.043900000000576,237,country:ca/province:bc/ed:sun-2015,country:ca/province:bc
237,10,SUP,Surrey-Panorama,Q7646740,,24173425.296900000423193,24908.748200000001816,238,country:ca/province:bc/ed:sup-2015,country:ca/province:bc
238,10,SUS,Surrey South,Q28233154,,124812675.895099997520447,59693.155500000000757,239,country:ca/province:bc/ed:sus-2015,country:ca/province:bc
242,10,VFC,Vancouver-False Creek,Q7914096,,5722580.338200000114739,12135.430299999999988,243,country:ca/province:bc/ed:vfc-2015,country:ca/province:bc
239,10,SWH,Surrey-Whalley,Q7646746,,27291156.945999998599291,22630.432300000000396,240,country:ca/province:bc/ed:swh-2015,country:ca/province:bc
240,10,SWR,Surrey-White Rock,Q7646748,,67774049.767900004982948,41528.966099999997823,241,country:ca/province:bc/ed:swr-2015,country:ca/province:bc
241,10,VFA,Vancouver-Fairview,Q7914095,,8932020.351299999281764,14394.522499999999127,242,country:ca/province:bc/ed:vfa-2015,country:ca/province:bc
